id,stage,beta_mid_deg,earth_view_mid_deg,inc_deg,alt_mean_km,period_s,revolutions,duration_h,eclipse_fraction,n_eclipses,mean_eclipse_duration_s,srp_rtn_share_R,srp_rtn_share_T,srp_rtn_share_N,n_passes,n_obs,f_perp,theta_k_deg,conditional_k_information,k_column_norm,sigma_k_frac,max_abs_k_state_correlation,weakest_mode_k_component,smallest_design_sv,matched_n_obs,matched_f_perp,matched_sigma_k_frac,delta_f_perp_full,class_full,class_matched,beta_target,normalization,k_srp,shadow_model,stations,epoch_offset_days
G1_b00,G1,0.5951684921745102,102.63053932116978,90.0,99.9210846991864,7068.449451451094,14.99789978170563,29.44774902358768,0.39525021204410515,16,2621.25,0.4396943149271492,0.5520607773542593,0.00824490771859147,25,955,0.07841831335514571,4.4976561205284735,76205.43133588006,3520.2658751190515,0.3622488681571655,0.7307272453765661,0.9999999999870195,2.7605331248492937,955,0.07841831335514571,0.3622488681571655,-0.013089241217964454,MAGNITUDE_ONLY,MAGNITUDE_ONLY,0,,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
G1_b20,G1,19.40483057924385,97.33433993973239,90.0,99.92134529214248,7068.449451451084,14.997899781705652,29.44774902358768,0.38761662425784565,15,2742.0,0.34491300357361154,0.43537370071304476,0.21971329571334366,22,956,0.10563837829087859,6.063947500927083,70547.04268472051,2514.3033902231577,0.3764961968164219,0.4786319554011142,0.9999999999690675,2.6560693266621866,955,0.10572371870462459,0.37650481952410714,0.014130823717768429,MAGNITUDE_ONLY,MAGNITUDE_ONLY,20,,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
G1_b40,G1,39.40482963128945,117.29577096283033,90.0,99.92132690978441,7068.449451451092,14.997899781705636,29.44774902358768,0.361323155216285,15,2556.0,0.2630928255797425,0.34092186990104617,0.39598530451921143,22,976,0.11201617193457597,6.431552132242813,46889.51483810905,1933.1125603973528,0.461808721378298,0.4215729935270725,0.9999999999633963,2.1653986892643156,955,0.11266073744324072,0.46530585518663564,0.02050861736146581,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN,40,,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
G1_b55,G1,54.40482886211575,132.2566460669473,90.0,99.9213063648357,7068.449451451087,14.997899781705645,29.44774902358768,0.3104325699745547,15,2196.0,0.2037882055242663,0.27056145307172075,0.5256503414040129,22,1016,0.12588423057546094,7.231821837129112,26309.049633513583,1288.4905875537581,0.6165203550770304,0.4157188994318534,0.9999999999781576,1.6220064621438397,955,0.1259010847265596,0.6364524850910092,0.03437667600235078,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN,55,,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
G1_b65,G1,64.40482820381484,142.21854735570008,90.0,99.92129015176339,7068.449451451092,14.997899781705636,29.44774902358768,0.22815945716709077,15,1614.0,0.1644188677902534,0.2149015415173849,0.6206795906923617,22,1068,0.13913906128139933,7.99803050782458,15116.958048094846,883.65580520049,0.8133318809266028,0.4022665396745047,0.9999999999881433,1.2295103922999746,955,0.13942137426806156,0.8578247921450097,0.04763150670828917,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN,65,,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
G1_b69,G1,68.40482786114535,146.19817383033123,90.0,99.9212835053021,7068.449451451092,14.997899781705636,29.44774902358768,0.15436810856658184,15,1092.0,0.15082392606608394,0.18642557970000762,0.6627504942339084,22,1106,0.13679244028705265,7.862280821244758,11661.793622311849,789.4426371718085,0.9260135130394319,0.4128702573417542,0.9999999999896858,1.0798978480426384,955,0.13670335774154255,0.9967245111668994,0.045284885713942485,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN,69,,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
G1_b71,G1,70.40482768335869,148.18632260975406,90.0,99.92128102787217,7068.449451451092,14.997899781705636,29.44774902358768,0.07548770144189991,15,534.0,0.14670529493417517,0.16744275224493224,0.6858519528208926,22,1126,0.1227205163572889,7.049137454743377,10319.920053467673,827.791556960411,0.9843778515730879,0.4768631129215946,0.9999999999845783,1.0158700730481955,955,0.12276337027734381,1.0669891175338844,0.031212961784178733,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN,71,,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
G1_b73,G1,72.40482756680157,150.17306271074588,90.0,99.9212771811151,7068.449451451092,14.997899781705636,29.44774902358768,0.0,0,0.0,0.14389875112594375,0.14369688047536328,0.7124043683986929,22,1154,0.11491045089729948,6.598460022445574,9059.998615898245,828.3321861536748,1.0505964629689748,0.45032394052114355,0.9999999999886224,0.9518402500258117,955,0.11489382877575151,1.1545474698201796,0.02340289632418932,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN,73,,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
G1_b80,G1,79.40482715914112,157.11021636683063,90.0,99.92125291059861,7068.449451451084,14.997899781705652,29.44774902358768,0.0,0,0.0,0.0962301018871473,0.09609470840106854,0.8076751897117841,18,1339,0.11416101724261833,6.555236185447769,2485.264228510105,436.6851811934251,2.0059204944057236,0.4654877343202837,0.9999999999970249,0.4985242449967022,955,0.1141272865437677,2.3733146910700715,0.02265346266950817,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN,80,,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
G1_b88,G1,87.40482554364975,164.97179523808092,90.0,99.92122452632005,7068.449451451084,14.997899781705652,29.44774902358768,0.0,0,0.0,0.02729468876055433,0.027255423956742117,0.9454498872827035,10,1511,0.1394494024468479,8.015986802133623,172.60115889071324,94.21177713757963,7.611638363105957,0.5184941589418067,0.9999999999997069,0.13137776025287318,955,0.13965635565341128,9.561277269290288,0.04794184787373773,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN,88,,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
